budget	count
[2.995, 3.11]	641
(3.11, 3.219]	213
(3.219, 3.329]	410
(3.329, 3.438]	160
(3.438, 3.548]	421
(3.548, 3.657]	247
(3.657, 3.767]	667
(3.767, 3.876]	378
(3.876, 3.986]	257
(3.986, 4.0954]	1321
(4.0954, 4.205]	611
(4.205, 4.315]	624
(4.315, 4.424]	499
(4.424, 4.534]	428
(4.534, 4.643]	392
(4.643, 4.753]	679
(4.753, 4.862]	287
(4.862, 4.972]	252
(4.972, 5.0813]	606
(5.0813, 5.191]	347
(5.191, 5.3]	108
(5.3, 5.41]	621
(5.41, 5.519]	258
(5.519, 5.629]	246
(5.629, 5.739]	535
(5.739, 5.848]	180
(5.848, 5.958]	240
(5.958, 6.0672]	643
(6.0672, 6.177]	365
(6.177, 6.286]	88
(6.286, 6.396]	375
(6.396, 6.505]	378
(6.505, 6.615]	264
(6.615, 6.724]	307
(6.724, 6.834]	149
(6.834, 6.944]	215
(6.944, 7.0531]	253
(7.0531, 7.163]	152
(7.163, 7.272]	230
(7.272, 7.382]	224
(7.382, 7.491]	240
(7.491, 7.601]	144
(7.601, 7.71]	187
(7.71, 7.82]	134
(7.82, 7.929]	107
(7.929, 8.039]	84
(8.039, 8.148]	67
(8.148, 8.258]	66
(8.258, 8.368]	35
(8.368, 8.477]	8
