length	count
[0.821, 2]	257
(2, 3]	353
(3, 4]	394
(4, 5]	514
(5, 6]	456
(6, 7]	566
(7, 8]	535
(8, 9]	448
(9, 10]	623
(10, 11]	473
(11, 12]	497
(12, 13]	464
(13, 14]	501
(14, 15]	785
(15, 16]	330
(16, 17]	305
(17, 18]	336
(18, 19]	263
(19, 20]	413
(20, 21]	163
(21, 22]	194
(22, 23]	182
(23, 24]	151
(24, 25]	230
(25, 26]	138
(26, 27]	133
(27, 28]	147
(28, 29]	126
(29, 30]	245
(30, 31]	50
(31, 32]	66
(32, 33]	48
(33, 34]	38
(34, 35]	79
(35, 36]	27
(36, 37]	29
(37, 38]	44
(38, 39]	44
(39, 40]	96
(40, 41]	14
(41, 42]	23
(42, 43]	40
(43, 44]	28
(44, 45]	101
(45, 46]	47
(46, 47]	40
(47, 48]	47
(48, 49]	30
(49, 50]	81
(50, 51]	35
(51, 52]	170
(52, 53]	57
(53, 54]	60
(54, 55]	99
(55, 56]	73
(56, 57]	73
(57, 58]	91
(58, 59]	49
(59, 60]	281
(60, 61]	66
(61, 62]	75
(62, 63]	74
(63, 64]	72
(64, 65]	115
(65, 66]	53
(66, 67]	64
(67, 68]	68
(68, 69]	60
(69, 70]	278
(70, 71]	131
(71, 72]	218
(72, 73]	179
(73, 74]	179
(74, 75]	458
(75, 76]	257
(76, 77]	225
(77, 78]	331
(78, 79]	220
(79, 80]	882
(80, 81]	333
(81, 82]	503
(82, 83]	484
(83, 84]	489
(84, 85]	859
(85, 86]	555
(86, 87]	606
(87, 88]	645
(88, 89]	544
(89, 90]	2078
(90, 91]	500
(91, 92]	594
(92, 93]	672
(93, 94]	591
(94, 95]	833
(95, 96]	560
(96, 97]	507
(97, 98]	552
(98, 99]	393
(99, 100]	930
(100, 101]	352
(101, 102]	369
(102, 103]	299
(103, 104]	354
(104, 105]	520
(105, 106]	305
(106, 107]	293
(107, 108]	282
(108, 109]	190
(109, 110]	470
(110, 111]	179
(111, 112]	197
(112, 113]	162
(113, 114]	156
(114, 115]	219
(115, 116]	128
(116, 117]	132
(117, 118]	162
(118, 119]	131
(119, 120]	348
(120, 121]	83
(121, 122]	97
(122, 123]	81
(123, 124]	88
(124, 125]	103
(125, 126]	65
(126, 127]	87
(127, 128]	82
(128, 129]	75
(129, 130]	109
(130, 131]	53
(131, 132]	41
(132, 133]	46
(133, 134]	48
(134, 135]	91
(135, 136]	37
(136, 137]	52
(137, 138]	57
(138, 139]	38
(139, 140]	73
(140, 141]	26
(141, 142]	36
(142, 143]	23
(143, 144]	31
(144, 145]	60
(145, 146]	30
(146, 147]	24
(147, 148]	30
(148, 149]	18
(149, 150]	103
(150, 151]	17
(151, 152]	18
(152, 153]	28
(153, 154]	11
(154, 155]	43
(155, 156]	14
(156, 157]	15
(157, 158]	11
(158, 159]	10
(159, 160]	72
(160, 161]	10
(161, 162]	15
(162, 163]	16
(163, 164]	8
(164, 165]	17
(165, 166]	7
(166, 167]	6
(167, 168]	5
(168, 169]	9
(169, 170]	12
(170, 171]	1
(171, 172]	6
(172, 173]	3
(173, 174]	7
(174, 175]	7
(175, 176]	4
(176, 177]	3
(177, 178]	6
(178, 179]	1
(179, 180]	13
