rating	count
1.0	64
1.1	30
1.2	44
1.3	31
1.4	59
1.5	51
1.6	74
1.7	83
1.8	93
1.9	115
2.0	139
2.1	175
2.2	203
2.3	177
2.4	241
2.5	243
2.6	253
2.7	315
2.8	384
2.9	357
3.0	378
3.1	413
3.2	544
3.3	553
3.4	638
3.5	663
3.6	838
3.7	818
3.8	979
3.9	986
4.0	1181
4.1	1198
4.2	1549
4.3	1420
4.4	1670
4.5	1707
4.6	2055
4.7	2121
4.8	2645
4.9	2406
5.0	3015
5.1	2832
5.2	3707
5.3	3507
5.4	3918
5.5	4022
5.6	4596
5.7	4729
5.8	5648
5.9	5125
6.0	6048
6.1	5778
6.2	6951
6.3	6536
6.4	7251
6.5	6742
6.6	7457
6.7	6903
6.8	8108
6.9	7088
7.0	8040
7.1	7086
7.2	8068
7.3	6441
7.4	6217
7.5	5134
7.6	5260
7.7	4259
7.8	4788
7.9	3446
8.0	4060
8.1	2837
8.2	3313
8.3	2391
8.4	2338
8.5	2079
8.6	1987
8.7	1584
8.8	1662
8.9	957
9.0	1143
9.1	572
9.2	854
9.3	419
9.4	547
9.5	293
9.6	356
9.7	185
9.8	257
9.9	58
10.0	225
