votes	count
[1.0363, 1.0755]	1603
(1.0755, 1.11]	1395
(1.11, 1.144]	1203
(1.144, 1.178]	2160
(1.178, 1.212]	933
(1.212, 1.246]	812
(1.246, 1.28]	1461
(1.28, 1.315]	615
(1.315, 1.349]	1104
(1.349, 1.383]	932
(1.383, 1.417]	833
(1.417, 1.451]	769
(1.451, 1.485]	680
(1.485, 1.519]	794
(1.519, 1.553]	528
(1.553, 1.588]	665
(1.588, 1.622]	554
(1.622, 1.656]	719
(1.656, 1.69]	427
(1.69, 1.724]	590
(1.724, 1.758]	658
(1.758, 1.792]	570
(1.792, 1.827]	481
(1.827, 1.861]	425
(1.861, 1.895]	476
(1.895, 1.929]	411
(1.929, 1.963]	482
(1.963, 1.997]	487
(1.997, 2.0315]	389
(2.0315, 2.0656]	484
(2.0656, 2.0997]	398
(2.0997, 2.134]	402
(2.134, 2.168]	401
(2.168, 2.202]	369
(2.202, 2.236]	350
(2.236, 2.27]	360
(2.27, 2.305]	390
(2.305, 2.339]	389
(2.339, 2.373]	332
(2.373, 2.407]	363
(2.407, 2.441]	344
(2.441, 2.475]	337
(2.475, 2.509]	315
(2.509, 2.544]	289
(2.544, 2.578]	319
(2.578, 2.612]	300
(2.612, 2.646]	264
(2.646, 2.68]	292
(2.68, 2.714]	253
(2.714, 2.748]	279
(2.748, 2.783]	265
(2.783, 2.817]	266
(2.817, 2.851]	250
(2.851, 2.885]	247
(2.885, 2.919]	219
(2.919, 2.953]	214
(2.953, 2.987]	197
(2.987, 3.0215]	187
(3.0215, 3.0557]	182
(3.0557, 3.0898]	186
(3.0898, 3.124]	194
(3.124, 3.158]	187
(3.158, 3.192]	162
(3.192, 3.226]	139
(3.226, 3.261]	146
(3.261, 3.295]	138
(3.295, 3.329]	131
(3.329, 3.363]	140
(3.363, 3.397]	124
(3.397, 3.431]	131
(3.431, 3.465]	108
(3.465, 3.499]	126
(3.499, 3.534]	109
(3.534, 3.568]	101
(3.568, 3.602]	89
(3.602, 3.636]	93
(3.636, 3.67]	90
(3.67, 3.704]	79
(3.704, 3.738]	92
(3.738, 3.773]	84
(3.773, 3.807]	76
(3.807, 3.841]	84
(3.841, 3.875]	70
(3.875, 3.909]	63
(3.909, 3.943]	59
(3.943, 3.977]	59
(3.977, 4.0116]	73
(4.0116, 4.0457]	54
(4.0457, 4.0799]	50
(4.0799, 4.114]	46
(4.114, 4.148]	44
(4.148, 4.182]	39
(4.182, 4.216]	53
(4.216, 4.251]	42
(4.251, 4.285]	37
(4.285, 4.319]	37
(4.319, 4.353]	38
(4.353, 4.387]	23
(4.387, 4.421]	37
(4.421, 4.455]	38
(4.455, 4.49]	34
(4.49, 4.524]	34
(4.524, 4.558]	42
(4.558, 4.592]	30
(4.592, 4.626]	33
(4.626, 4.66]	32
(4.66, 4.694]	28
(4.694, 4.729]	41
(4.729, 4.763]	26
(4.763, 4.797]	36
(4.797, 4.831]	37
(4.831, 4.865]	25
(4.865, 4.899]	41
(4.899, 4.933]	35
(4.933, 4.968]	28
(4.968, 5.00166]	15
(5.00166, 5.0358]	33
(5.0358, 5.0699]	24
(5.0699, 5.104]	20
(5.104, 5.138]	15
(5.138, 5.172]	26
(5.172, 5.206]	22
(5.206, 5.241]	20
(5.241, 5.275]	21
(5.275, 5.309]	21
(5.309, 5.343]	14
(5.343, 5.377]	15
(5.377, 5.411]	8
(5.411, 5.445]	13
(5.445, 5.48]	9
(5.48, 5.514]	10
(5.514, 5.548]	9
(5.548, 5.582]	9
(5.582, 5.616]	6
(5.616, 5.65]	4
(5.65, 5.684]	7
(5.684, 5.719]	7
(5.719, 5.753]	8
(5.753, 5.787]	2
(5.787, 5.821]	2
(5.821, 5.855]	1
(5.855, 5.889]	1
(5.889, 5.923]	1
(5.923, 5.958]	2
(5.958, 5.992]	1
(5.992, 6.0259]	1
(6.0259, 6.06]	0
(6.06, 6.0941]	0
(6.0941, 6.128]	0
(6.128, 6.162]	1
