year	length	budget	rating	votes	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	Action	Animation	Comedy	Drama	Documentary	Romance	Short	count
1883	1		6.0	41	0.0	4.5	4.5	4.5	34.5	14.5	14.5	4.5	0.0	4.5	0	0	0	0	0	0	1	1
1888	2		13.399999999999999	3812	19.0	4.5	4.5	9.0	19.0	39.0	29.0	19.0	9.0	39.0	0	0	0	0	1	0	2	2
1890	2		10.7	205	19.0	4.5	4.5	19.0	49.0	39.0	19.0	9.0	9.0	19.0	0	0	0	0	0	0	2	2
1891	6		29.7	2390	37.0	18.0	47.0	77.0	177.0	117.0	47.0	22.5	13.5	22.5	1	0	0	0	2	0	6	6
1892	10		17.6	1029	23.5	13.5	23.5	23.5	43.5	43.5	43.5	23.5	13.5	43.5	0	2	1	0	0	1	3	3
1893	1		6.2	1335	4.5	4.5	4.5	4.5	14.5	24.5	24.5	4.5	4.5	4.5	0	0	0	0	0	0	1	1
1894	75		164.20000000000002	12985	175.0	126.0	150.5	300.5	725.0	600.5	380.5	166.0	135.0	205.0	1	1	3	1	11	1	29	30
1895	39		186.3	20292	148.5	144.0	148.5	378.5	878.5	838.5	478.5	218.5	135.0	168.5	0	0	6	0	22	0	33	33
1896	195	0.0	1015.1000000000008	35990	867.5	740.0	971.0	2360.5	5392.0	4863.5	1785.5	903.0	451.0	923.5	1	0	10	2	143	1	189	189
1897	138		699.7000000000007	12959	566.5	534.0	826.5	1700.5	3614.0	3446.0	1112.5	672.5	247.5	606.5	0	0	16	3	79	0	132	132
1898	78		327.0	11302	235.0	236.0	367.5	745.5	1405.5	1445.5	752.0	382.0	145.0	333.0	0	0	11	5	23	0	59	59
1899	246		426.4999999999999	9008	367.5	397.5	581.0	1100.0	2174.5	1715.5	801.0	416.5	166.5	343.0	0	0	9	5	33	0	80	81
1900	134		460.5999999999999	12638	451.5	479.0	698.0	1201.5	1921.5	1897.0	1034.5	476.5	225.0	392.0	0	1	22	5	36	0	87	87
1901	199	1200.0	508.9000000000002	15369	484.0	438.0	728.5	1377.5	2197.5	2008.5	1194.0	626.0	270.0	391.5	2	0	23	7	42	2	95	95
1902	130		295.49999999999994	33670	277.5	265.0	442.0	863.0	1372.0	1092.0	603.0	334.0	131.5	259.5	0	0	9	4	20	0	56	56
1903	282	0.0	486.1000000000001	29807	525.0	492.5	975.0	1318.5	1955.0	1884.0	1162.5	564.5	230.5	338.5	3	0	25	8	27	2	93	93
1904	505		519.6999999999999	12824	579.5	517.0	985.5	1677.5	2150.0	1895.5	1098.5	572.5	251.5	457.5	1	0	21	8	46	0	101	101
